MLD_India, SST_India, MLD_Biotrans, SST_Biotrans, MLD_Papa, SST_Papa, MLD_Kerfix, SST_Kerfix
669.6,     8.5938,    242.4,        12.5492,      104.6,    5.9265,   75.9,       3.7352
638.9,     8.3107,    510.5,        11.7366,      106.7,    5.5848,   105.3,      4.5003
696.8,     8.1592,    547.3,        11.7832,      106.5,    5.3487,   105.5,      4.5353
492.2,     8.231,     362.7,        12.142,       100.9,    5.5518,   126.5,      4.3754
74.6,      9.026,     65.2,         13.0928,      61.3,     6.4256,   113.3,      3.6853
44.7,      10.1759,   40.2,         14.6762,      43,       8.0223,   142.5,      3.0281
38,        11.4303,   22.1,         17.0528,      26.2,     10.6367,  195.9,      2.4851
45.5,      12.3221,   36.2,         17.8028,      25.2,     12.4523,  216.5,      2.1267
60,        11.7099,   52.7,         17.3385,      43.1,     12.6164,  214.1,      2.0861
94.7,      10.5561,   68,           16.1696,      55.8,     10.5428,  139.5,      2.0674
229.6,     9.4769,    88,           14.4091,      75.6,     8.3444,   136.1,      2.154
506.8,     8.9225,    144.9,        13.2659,      92.7,     6.7545,   100.4,      2.8404
669.6,     8.5938,    242.4,        12.5492,      104.6,    5.9265,   75.9,       3.7352

